File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018177_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,6/26/18,73156,0.31,1.5649,"(0.31,1.5649)",1.2358,0.2637,0.0696,1.3636,1.5322,1.34,1.0797,1.25
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018179_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,6/28/18,73208,0.31,1.5649,"(0.31,1.5649)",1.22,0.2853,0.0814,1.3629,1.5346,1.34,1.0753,1.2479
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018180_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,6/29/18,71203,0.31,1.5649,"(0.31,1.5649)",1.2415,0.2532,0.0641,1.3624,1.5296,1.34,1.0832,1.2506
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018181_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,6/30/18,71169,0.31,1.5649,"(0.31,1.5649)",1.2353,0.2619,0.0686,1.3622,1.5221,1.34,1.0938,1.2547
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018182_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,7/1/18,73507,0.31,1.5649,"(0.31,1.5649)",1.2262,0.2774,0.0769,1.3632,1.5322,1.34,1.0791,1.2495
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018183_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,7/2/18,70041,0.31,1.5649,"(0.31,1.5649)",1.2437,0.246,0.0605,1.3604,1.5239,1.34,1.0879,1.2513
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018184_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,7/3/18,72810,0.31,1.5649,"(0.31,1.5649)",1.2229,0.2819,0.0794,1.3624,1.5296,1.34,1.0828,1.2505
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018185_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,7/4/18,73199,0.31,1.5649,"(0.31,1.5649)",1.2355,0.2642,0.0698,1.3636,1.5322,1.34,1.0797,1.25
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018186_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,7/5/18,69553,0.31,1.5649,"(0.31,1.5649)",1.2473,0.2417,0.0584,1.361,1.514,1.34,1.1056,1.2588
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018187_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,7/6/18,73326,0.31,1.5649,"(0.31,1.5649)",1.2201,0.2851,0.0813,1.3629,1.5346,1.34,1.0748,1.2476
